,title,company,salary,summary
186,WordPress Engineer (Remote/Worldwide),XWP,$30 - $45 an hour,You value autonomy and have the self-management skills to operate dependably in a fully-remote role.You’ve built complex custom WordPress plugins from scratch.
187,"Senior Software Engineer, Studio Production Engineering",Netflix,,You are an expert Java programmer who is up-to-date with the evolution of Java and its ecosystem of frameworks & build tools (or have experience building…
188,Campus - Fresher Software Developer Trainee,LeewayHertz,,Computer Science Freshers through Campus Recruitment.A candidate will be working either on Frontend Technology / Backend Technology / Blockchain / Android/ iOS…
189,Associate Software Engineer,Paylocity,,"As a member of one of our product teams, you will be responsible for creating, enhancing, and supporting common features."
190,Jr Fullstack Engineer (Remote),ReviewTrackers,,ReviewTrackers empowers businesses to understand their customers better through advanced review and customer feedback technology.
191,Software Engineer of Testing,"Tilled, Inc.","$75,000 - $100,000 a year",This is a full-time remote position.Candidates must be authorized to work in the United States and be a resident in a United States time zone.*.
192,Software Engineer in Test II,PEX,"$85,000 - $90,000 a year","We are the team behind the Attribution Engine, a licensing infrastructure for the Internet enabling fair compensation and increased access to content."
193,Software Engineer,Magellan Health,,"This position serves as the technical and industry resource to management, business, clients and development staff in new uses of information technology and in…"
194,"Junior Software Engineer, Full-Stack",CharterUP,"$85,000 a year","We are looking for someone who understands software architecture, data modeling, and object-oriented programming concepts.You must be a coder."
195,Software Development Engineer,"Amazon Web Services, Inc.",,"Experience with data structures, algorithms, operating system internals and/or distributed systems.Successful candidates will have a track record of shipping…"
196,Software / .Net Engineer,SDH Systems,"$101,754 a year",Develop the business requirements from business users and subject matter experts into Technical Deliverables.
197,Jr. Web Developer,Piper Companies,$22 - $27 an hour,"Design, develop and implement new websites and web applications.Communicate with multiple stakeholders as it relates to the project."
198,Associate Data & Machine Learning Engineer,"Amazon Web Services, Inc.","$82,600 a year","Bachelor’s degree in Computer Science, Engineering, Mathematics or a related field or equivalent professional or military experience."
199,Software Engineer: Embedded Systems,Oxide Computer Company,"$180,250 a year","The rack-scale computer is loaded with essential embedded systems, responsible for the many unseen components that support the operation of a rack-scale…"
200,SAS Programmer,Health Decisions Inc- Corporate Headquarters,,Health Decision is a specialty CRO that utilizes a broad expertise across Women’s Health research with adaptive design and adaptive operational capabilities to…
201,React Native Developer,Piper Companies,"$80,000 - $110,000 a year",The React Native Developer will be responsible for working on a variety of different projects across multiple industries.Proficient understanding of REST API.
202,Web Development Apprentice,thunderːːtech,,Understanding of professional communication fundamentals.Minimum education of Junior or Senior in High School or Post High School.
203,C++ Developer,TeknoSpar,,"Design, build and maintain efficient and reliable C++ code.Maintenance and care of C++ code quality."
204,Backend Engineer,Luxor Technology Corporation,"$75,000 - $170,000 a year","You will develop the technical design for either cloud or on-premises solutions.Also, influence designs across R&D using original research and advanced…"
205,Jr Fullstack Engineer (Remote),ReviewTrackers,,ReviewTrackers empowers businesses to understand their customers better through advanced review and customer feedback technology.
206,Software Engineer of Testing,"Tilled, Inc.","$75,000 - $100,000 a year",This is a full-time remote position.Candidates must be authorized to work in the United States and be a resident in a United States time zone.*.
207,Software Engineer in Test II,PEX,"$85,000 - $90,000 a year","We are the team behind the Attribution Engine, a licensing infrastructure for the Internet enabling fair compensation and increased access to content."
208,Software Engineer,Magellan Health,,"This position serves as the technical and industry resource to management, business, clients and development staff in new uses of information technology and in…"
209,"Junior Software Engineer, Full-Stack",CharterUP,"$85,000 a year","We are looking for someone who understands software architecture, data modeling, and object-oriented programming concepts.You must be a coder."
210,Software Development Engineer,"Amazon Web Services, Inc.",,"Experience with data structures, algorithms, operating system internals and/or distributed systems.Successful candidates will have a track record of shipping…"
211,Software / .Net Engineer,SDH Systems,"$101,754 a year",Develop the business requirements from business users and subject matter experts into Technical Deliverables.
212,Jr. Web Developer,Piper Companies,$22 - $27 an hour,"Design, develop and implement new websites and web applications.Communicate with multiple stakeholders as it relates to the project."
213,Associate Data & Machine Learning Engineer,"Amazon Web Services, Inc.","$82,600 a year","Bachelor’s degree in Computer Science, Engineering, Mathematics or a related field or equivalent professional or military experience."
214,Software Engineer: Embedded Systems,Oxide Computer Company,"$180,250 a year","The rack-scale computer is loaded with essential embedded systems, responsible for the many unseen components that support the operation of a rack-scale…"
215,SAS Programmer,Health Decisions Inc- Corporate Headquarters,,Health Decision is a specialty CRO that utilizes a broad expertise across Women’s Health research with adaptive design and adaptive operational capabilities to…
216,React Native Developer,Piper Companies,"$80,000 - $110,000 a year",The React Native Developer will be responsible for working on a variety of different projects across multiple industries.Proficient understanding of REST API.
217,Web Development Apprentice,thunderːːtech,,Understanding of professional communication fundamentals.Minimum education of Junior or Senior in High School or Post High School.
218,C++ Developer,TeknoSpar,,"Design, build and maintain efficient and reliable C++ code.Maintenance and care of C++ code quality."
219,Backend Engineer,Luxor Technology Corporation,"$75,000 - $170,000 a year","You will develop the technical design for either cloud or on-premises solutions.Also, influence designs across R&D using original research and advanced…"
220,Junior Full Stack Software Engineer,kraken,,Debug and reconcile cryptocurrency balances and transaction records.Update web application and APIs based on clients’ needs.Familiarity with CI/CD pipelines.
221,Software Developer (Consultant),Macedon Technologies,"Up to $80,000 a year","Our Consultants architect, develop, and deliver creative solutions that help transform the way our clients do business.Zero to two years of experience."
222,Software Development Engineer I,MasterCard,,"Software engineers at Mastercard build the systems that process transactions, analyze data and detect fraud to gain insight into the direction of the economy on…"
223,HTML Email Developer (Remote),Epsilon,,"A Front-End Developer is an experienced front-end coder, has experience with HTML email coding and is capable of front-end coding with HTML, CSS, JavaScript."
224,Machine Learning Engineer,Double River Investments Limited,,"The work can be done in conjunction with school or another job/internship.Experience with Machine Learning techniques and frameworks (Deep Learning, decision…"
225,Front End Engineer,Facebook,,"Architect efficient and reusable front-end systems that drive complex web applications.Identify and drive changes as needed for assigned codebase, product area…"
226,Junior Developer,Upland Software,,"Working as part of the Research and Development Team participate in the hands-on design, development and unit testing of the company’s products following and…"
227,Frontend Developer,Incsub,,Focus on WordPress (that’s a real must).Strong knowledge of the common PHP or web server exploits and their solutions.
228,Frontend Engineer,Avenue Code,,"You must have demonstrated experience building innovative, intuitive, scalable, and reliable web applications.Strong knowledge and hands-on with HTML, and CSS."
229,Software Engineer I,Paycor,,"Your primary role is to review, analyze, and modify programming systems.This includes coding, testing and debugging to support client/server software or web…"
230,Frontend Engineer,FMG Suite,,"We’re a marketing software company that serves small business owners, primarily financial advisors and insurance agents.Mastery of Snap Camera in Google Meet."
231,2022 Full Stack Development Engineer (Co-op),"Zoom Video Communications, Inc.",,Full Stack Software Engineer interns enable end-to-end and rich online experiences for Zoom products and projects.Participate in design and code reviews.
232,"Backend Engineer, Consumer Experience",Spotify,,"We are working together in autonomous teams that take full responsibility for their own part of the Spotify ecosystem, including writing code with high…"
233,Associate Software Engineer,Paylocity,,"As a member of one of our product teams, you will be responsible for creating, enhancing, and supporting common features."
234,Campus - Fresher Software Developer Trainee,LeewayHertz,,Computer Science Freshers through Campus Recruitment.A candidate will be working either on Frontend Technology / Backend Technology / Blockchain / Android/ iOS…
235,Software Engineer - Unity,Trigger,,"Trigger is looking for a Software Engineer with a passion for mobile application and game development.In this role you’ll help create cutting-edge toys, mobile…"
236,Jr Fullstack Engineer (Remote),ReviewTrackers,,ReviewTrackers empowers businesses to understand their customers better through advanced review and customer feedback technology.
237,Web Engineer,Calm,,"Using tools like JavaScript, TypeScript, React, HTML, and CSS you will deliver incredible experiences to Calm’s fast-growing user base."
238,Software Development Engineer,"Amazon Web Services, Inc.",,"Experience with data structures, algorithms, operating system internals and/or distributed systems.Successful candidates will have a track record of shipping…"
239,Jr. Web Developer,Piper Companies,$22 - $27 an hour,"Design, develop and implement new websites and web applications.Communicate with multiple stakeholders as it relates to the project."
240,"Junior Software Engineer, Full-Stack",CharterUP,"$85,000 a year","We are looking for someone who understands software architecture, data modeling, and object-oriented programming concepts.You must be a coder."
241,Software / .Net Engineer,SDH Systems,"$101,754 a year",Develop the business requirements from business users and subject matter experts into Technical Deliverables.
242,SAS Programmer,Health Decisions Inc- Corporate Headquarters,,Health Decision is a specialty CRO that utilizes a broad expertise across Women’s Health research with adaptive design and adaptive operational capabilities to…
243,Backend Engineer,Luxor Technology Corporation,"$75,000 - $170,000 a year","You will develop the technical design for either cloud or on-premises solutions.Also, influence designs across R&D using original research and advanced…"
244,Software Engineer,Magellan Health,,"This position serves as the technical and industry resource to management, business, clients and development staff in new uses of information technology and in…"
245,Associate Data & Machine Learning Engineer,"Amazon Web Services, Inc.","$82,600 a year","Bachelor’s degree in Computer Science, Engineering, Mathematics or a related field or equivalent professional or military experience."
246,C++ Developer,TeknoSpar,,"Design, build and maintain efficient and reliable C++ code.Maintenance and care of C++ code quality."
247,Software Engineer: Embedded Systems,Oxide Computer Company,"$180,250 a year","The rack-scale computer is loaded with essential embedded systems, responsible for the many unseen components that support the operation of a rack-scale…"
248,React Native Developer,Piper Companies,"$80,000 - $110,000 a year",The React Native Developer will be responsible for working on a variety of different projects across multiple industries.Proficient understanding of REST API.
249,C# .NET Developer - Remote,Ferguson,,"As part of the Enterprise Information Management and Master Data Management team, the C# .NET Developer will support the integration of master data to the…"
250,Software Engineer - Unity,Trigger,,"Trigger is looking for a Software Engineer with a passion for mobile application and game development.In this role you’ll help create cutting-edge toys, mobile…"
251,Jr Fullstack Engineer (Remote),ReviewTrackers,,ReviewTrackers empowers businesses to understand their customers better through advanced review and customer feedback technology.
252,Web Engineer,Calm,,"Using tools like JavaScript, TypeScript, React, HTML, and CSS you will deliver incredible experiences to Calm’s fast-growing user base."
253,Software Development Engineer,"Amazon Web Services, Inc.",,"Experience with data structures, algorithms, operating system internals and/or distributed systems.Successful candidates will have a track record of shipping…"
254,Jr. Web Developer,Piper Companies,$22 - $27 an hour,"Design, develop and implement new websites and web applications.Communicate with multiple stakeholders as it relates to the project."
255,"Junior Software Engineer, Full-Stack",CharterUP,"$85,000 a year","We are looking for someone who understands software architecture, data modeling, and object-oriented programming concepts.You must be a coder."
256,Software / .Net Engineer,SDH Systems,"$101,754 a year",Develop the business requirements from business users and subject matter experts into Technical Deliverables.
257,SAS Programmer,Health Decisions Inc- Corporate Headquarters,,Health Decision is a specialty CRO that utilizes a broad expertise across Women’s Health research with adaptive design and adaptive operational capabilities to…
258,Backend Engineer,Luxor Technology Corporation,"$75,000 - $170,000 a year","You will develop the technical design for either cloud or on-premises solutions.Also, influence designs across R&D using original research and advanced…"
259,Software Engineer,Magellan Health,,"This position serves as the technical and industry resource to management, business, clients and development staff in new uses of information technology and in…"
260,Associate Data & Machine Learning Engineer,"Amazon Web Services, Inc.","$82,600 a year","Bachelor’s degree in Computer Science, Engineering, Mathematics or a related field or equivalent professional or military experience."
261,C++ Developer,TeknoSpar,,"Design, build and maintain efficient and reliable C++ code.Maintenance and care of C++ code quality."
262,Software Engineer: Embedded Systems,Oxide Computer Company,"$180,250 a year","The rack-scale computer is loaded with essential embedded systems, responsible for the many unseen components that support the operation of a rack-scale…"
263,React Native Developer,Piper Companies,"$80,000 - $110,000 a year",The React Native Developer will be responsible for working on a variety of different projects across multiple industries.Proficient understanding of REST API.
264,C# .NET Developer - Remote,Ferguson,,"As part of the Enterprise Information Management and Master Data Management team, the C# .NET Developer will support the integration of master data to the…"
265,.NET DEVELOPER (100% Remote),Denken Solutions Inc,,Net Developers for our direct client requirements.We accept H1 Transfers also.Master's Degree or Bachelors with relevant experience.
266,"Android Engineer, Messaging",Spotify,,"The Freemium R&D team oversees the entire user journey on Spotify and ensures we engage with people in innovative ways, every step of the way."
267,Web Designer - WordPress,Recruiter.com,,You must be comfortable working as part of a team while taking the initiative to take lead on new innovations and projects.
268,WebGL Freelancer,Unit9,,"Technically, you will need to have experience in JavaScript (ES6 / ES7), Typescript, React basics, as well as CSS 3D transitions."
269,"SOFTWARE ENGINEER, NFT MARKETPLACE, WEB",DraftKings,,You will be assigned directly to one of these teams and will work alongside senior engineers responsible for bringing you up to speed.
270,Hybrid mobile developer,Ensis Technologies,$145 an hour,"As a member of the development team, the Hybrid Mobile Developer will be responsible for developing web-based mobile applications, particularly using JavaScript…"
271,Software Engineer University Grad,ViaSat,"$83,300 a year","Participate in design, documentation, and development of new APIs.Support continuous software delivery through automated testing, deployment, and monitoring."
272,HTML/Graphic Designers,Webmasters.com,,This position requires experience with design applications such as PhotoShop or Paint Shop Pro.Must be able to provide mockup designs in standard .gif/.jpg…
273,Software Developer (Consultant),Macedon Technologies,"Up to $80,000 a year","Our Consultants architect, develop, and deliver creative solutions that help transform the way our clients do business.Zero to two years of experience."
274,Junior Full Stack Software Engineer,kraken,,Debug and reconcile cryptocurrency balances and transaction records.Update web application and APIs based on clients’ needs.Familiarity with CI/CD pipelines.
275,Software Engineer University Grad,ViaSat,"$83,300 a year","Participate in design, documentation, and development of new APIs.Support continuous software delivery through automated testing, deployment, and monitoring."
276,Junior Full Stack Software Engineer,kraken,,Debug and reconcile cryptocurrency balances and transaction records.Update web application and APIs based on clients’ needs.Familiarity with CI/CD pipelines.
277,Software Developer (Consultant),Macedon Technologies,"Up to $80,000 a year","Our Consultants architect, develop, and deliver creative solutions that help transform the way our clients do business.Zero to two years of experience."
278,Software Development Engineer I,MasterCard,,"Software engineers at Mastercard build the systems that process transactions, analyze data and detect fraud to gain insight into the direction of the economy on…"
279,HTML Email Developer (Remote),Epsilon,,"A Front-End Developer is an experienced front-end coder, has experience with HTML email coding and is capable of front-end coding with HTML, CSS, JavaScript."
280,Machine Learning Engineer,Double River Investments Limited,,"The work can be done in conjunction with school or another job/internship.Experience with Machine Learning techniques and frameworks (Deep Learning, decision…"
281,Front End Engineer,Facebook,,"Architect efficient and reusable front-end systems that drive complex web applications.Identify and drive changes as needed for assigned codebase, product area…"
282,Junior Developer,Upland Software,,"Working as part of the Research and Development Team participate in the hands-on design, development and unit testing of the company’s products following and…"
283,Frontend Developer,Incsub,,Focus on WordPress (that’s a real must).Strong knowledge of the common PHP or web server exploits and their solutions.
284,Frontend Engineer,Avenue Code,,"You must have demonstrated experience building innovative, intuitive, scalable, and reliable web applications.Strong knowledge and hands-on with HTML, and CSS."
285,Software Engineer I,Paycor,,"Your primary role is to review, analyze, and modify programming systems.This includes coding, testing and debugging to support client/server software or web…"
286,Frontend Engineer,FMG Suite,,"We’re a marketing software company that serves small business owners, primarily financial advisors and insurance agents.Mastery of Snap Camera in Google Meet."
287,2022 Full Stack Development Engineer (Co-op),"Zoom Video Communications, Inc.",,Full Stack Software Engineer interns enable end-to-end and rich online experiences for Zoom products and projects.Participate in design and code reviews.
288,"Backend Engineer, Consumer Experience",Spotify,,"We are working together in autonomous teams that take full responsibility for their own part of the Spotify ecosystem, including writing code with high…"
289,Associate Software Engineer,Paylocity,,"As a member of one of our product teams, you will be responsible for creating, enhancing, and supporting common features."
290,Machine Learning Engineer,Double River Investments Limited,,"The work can be done in conjunction with school or another job/internship.Experience with Machine Learning techniques and frameworks (Deep Learning, decision…"
291,Front End Engineer,Facebook,,"Architect efficient and reusable front-end systems that drive complex web applications.Identify and drive changes as needed for assigned codebase, product area…"
292,Junior Developer,Upland Software,,"Working as part of the Research and Development Team participate in the hands-on design, development and unit testing of the company’s products following and…"
293,HTML Email Developer (Remote),Epsilon,,"A Front-End Developer is an experienced front-end coder, has experience with HTML email coding and is capable of front-end coding with HTML, CSS, JavaScript."
294,2022 Full Stack Development Engineer (Co-op),"Zoom Video Communications, Inc.",,Full Stack Software Engineer interns enable end-to-end and rich online experiences for Zoom products and projects.Participate in design and code reviews.
295,Frontend Developer,Incsub,,Focus on WordPress (that’s a real must).Strong knowledge of the common PHP or web server exploits and their solutions.
296,Software Development Engineer I,MasterCard,,"Software engineers at Mastercard build the systems that process transactions, analyze data and detect fraud to gain insight into the direction of the economy on…"
297,Software Engineer I,Paycor,,"Your primary role is to review, analyze, and modify programming systems.This includes coding, testing and debugging to support client/server software or web…"
298,Frontend Engineer,FMG Suite,,"We’re a marketing software company that serves small business owners, primarily financial advisors and insurance agents.Mastery of Snap Camera in Google Meet."
299,Frontend Engineer,Avenue Code,,"You must have demonstrated experience building innovative, intuitive, scalable, and reliable web applications.Strong knowledge and hands-on with HTML, and CSS."
300,"Backend Engineer, Consumer Experience",Spotify,,"We are working together in autonomous teams that take full responsibility for their own part of the Spotify ecosystem, including writing code with high…"
301,WordPress Engineer (Remote/Worldwide),XWP,$30 - $45 an hour,You value autonomy and have the self-management skills to operate dependably in a fully-remote role.You’ve built complex custom WordPress plugins from scratch.
302,"Senior Software Engineer, Studio Production Engineering",Netflix,,You are an expert Java programmer who is up-to-date with the evolution of Java and its ecosystem of frameworks & build tools (or have experience building…
303,Campus - Fresher Software Developer Trainee,LeewayHertz,,Computer Science Freshers through Campus Recruitment.A candidate will be working either on Frontend Technology / Backend Technology / Blockchain / Android/ iOS…
304,Associate Software Engineer,Paylocity,,"As a member of one of our product teams, you will be responsible for creating, enhancing, and supporting common features."
305,Sr. Frontend Developer,Interior Define,,"Additionally, this role will have management responsibilities with 2 frontend developers reporting directly to them.Strong HTML and JavaScript skills."
306,Software Developer (Consultant),Macedon Technologies,"Up to $80,000 a year","Our Consultants architect, develop, and deliver creative solutions that help transform the way our clients do business.Zero to two years of experience."
307,Web Developer III,Piper Companies,$48 - $51 an hour,The Web Developer will expand software integral to company services and collaborate with a team to build and improve mission-critical web applications.
308,REMOTE Web Programmer,Harrisburg Area Community College,"$46,329 - $69,493 a year","Associate Degree in either web development or similar and 3 years experience, or a combination of experience and education sufficient to successfully perform…"
309,Backend Engineer - Crypto Payments,kraken,,"Integrate our financial systems with blockchain currencies and banks.Writing reusable, testable, and efficient code."
310,.NET DEVELOPER (100% Remote),Denken Solutions Inc,,Net Developers for our direct client requirements.We accept H1 Transfers also.Master's Degree or Bachelors with relevant experience.
311,Software Development Engineer I,Apptio,"$88,000 a year","We own the full development lifecycle of key Apptio services, including authorization/authentication, product provisioning, and the framework with which all…"
312,Software Engineer I,TeleTracking Technologies,,"The Software Engineer I assists in the development of software solutions & products.The development of these solutions would include researching, designing,…"
313,Mainframe Systems Programmer I,America First Credit Union,,"Mainframe systems programmer who evaluates, installs, and configures hardware and software mainframe computing environments.Knowledge of z/OS system commands."
314,Web Development Apprentice,thunderːːtech,,Understanding of professional communication fundamentals.Minimum education of Junior or Senior in High School or Post High School.
315,Game Designer,Electronic Arts,,"As a Game Designer reporting to the Lead Game Designer, you will create content and features, ensuring your work aligns with business and design goals with…"
316,JavaScript Engineer,AUTO1,,"You will build and own our applications, maintain a high quality and ensure we deliver the best product to our clients.You worked with HTML5, CSS3 and webpack."
317,WordPress Web Developer,hint,,"The Kara Brand (Kara Goldin, CEO of Hint) is looking for an experienced individual to join our Web team on a *contract basis* as a WordPress Web Developer to…"
318,Tools Programmer - Ready at Dawn,Facebook,,"Experience filtering diverse feedback from artists, designers, and programmers and propose effective solutions.Understanding of general artistic aesthetics."
319,Software Engineer - Backend/Node.js,"Zoom Video Communications, Inc.",,Design and implement microservices using Node.js or Java to support customers' needs.Drive integration test automation to optimize service performance and…
320,C# .NET Developer - Remote,Ferguson,,Ferguson IT is looking to add a remote C# .NET Developer to the Enterprise Information Management team.As part of the Enterprise Information Management and…
321,Software Development Engineer I,Apptio,"$88,000 a year",You: You are a software engineer who strives for excellence in the user’s experience as well as in your technical solutions.
322,Software Engineer I,TeleTracking Technologies,,"For over 30 years, TeleTracking has been operating with a simple mission, *to ensure that no one waits for the care they need*."
323,.NET DEVELOPER (100% Remote),Denken Solutions Inc,,"Currently, we are looking for talented resources for our company.If interested please reply to me with your updated resume or feel free to reach out to me for…"
324,REMOTE Web Programmer,Harrisburg Area Community College,"$46,329 - $69,493 a year","Salary: $46,329 - $69,493.This position will be open until filled.Please note that all applicants are required to submit the following materials:"
325,Backend Engineer - Crypto Payments,kraken,,Our mission is to accelerate the adoption of cryptocurrency so that you and the rest of the world can achieve financial freedom and inclusion.
326,Game Designer,Electronic Arts,,"Capital Games is a mobile game studio located in Midtown Sacramento.We're home to the Star Wars: Galaxy of Heroes, the most successful Star Wars mobile game…"
327,Web Developer III,Piper Companies,$48 - $51 an hour,Piper Companies is currently seeking an Web Developer for a REMOTE fulltime contract opportunity in the EST time zone.2+ years utilizing React frameworks.
328,Mainframe Systems Programmer I,America First Credit Union,,"Mainframe systems programmer who evaluates, installs, and configures hardware and software mainframe computing environments.Knowledge of z/OS system commands."
329,Software Engineer - Backend/Node.js,"Zoom Video Communications, Inc.",,"Zoom Chat connects your teams and streamlines communications across meetings, phone, rooms, and webinar.You will have a unique opportunity to not only immerse…"
330,JavaScript Engineer,AUTO1,,"Our Tech department is the driving force behind one of the most successful start-ups in Europe in the last 7 years.You worked with HTML5, CSS3 and webpack."
331,Programmer,Americollect Inc.,,"The Software Developer writes code to create software programs, turning the program designs created by Project Analysts into instructions that a computer can…"
332,WordPress Web Developer,hint,,"The Kara Brand (Kara Goldin, CEO of Hint) is looking for an experienced individual to join our Web team on a *contract basis* as a WordPress Web Developer to…"
333,Software Engineer (Remote),"Agilent Technologies, Inc.",,"""What's it like to work at Agilent in R&D?Agilent inspires and supports discoveries that advance the quality of life."
334,Unity Game Developer,Gallium Studios,,"Gallium Studios is a small independent studio of industry veterans started by Will Wright.We develop fun, quirky games in the simulation and strategy genre…"
335,"Senior Software Engineer, Studio Production Engineering",Netflix,,You are an expert Java programmer who is up-to-date with the evolution of Java and its ecosystem of frameworks & build tools (or have experience building…
336,Campus - Fresher Software Developer Trainee,LeewayHertz,,"This is a remote position.LeewayHertz is looking to hire B.E./B.Tech/M.Tech B.Sc/M.Sc. CS/IT, BCA/MCA.Computer Science Freshers through Campus Recruitment."
337,Associate Software Engineer,Paylocity,,"Don’t just land a job.Our all-in-one software platform gives HR pros a way to easily manage daily tasks in payroll, benefits, talent, and workforce management."
338,PHP & MySQL & HTML/CSS & JS Developers,Retail Ecommerce Ventures,,"Retail E Commerce Ventures LLC is seeking highly skilled and experienced.PHP & MySQL & HTML/CSS & JS Developers.Grouping, Aggregate Functions, HAVING Clause."
339,"Staff Software Engineer, Frontend - Frontend",Slack,"$169,000 - $200,000 a year","As a Staff Software Engineer, Frontend at Slack, you’ll use your deep understanding of JavaScript, HTML, and CSS to improve the Slack web client, a complex web…"
340,Web Developer,Scorpion Internet Marketing,,"As a Web Developer, you understand the title is simply just a corporate way of saying “Tech-Ninja”.You were trained in the ancient temple of HTML, baptized in…"
341,React / Node.JS Developer (Remote),TSP,"$115,000 - $130,000 a year","Front End Developer ( React / Node.JS ).100% Remote from any U.S. Location*.$115,000 – $130,000/yr – direct perm hire with our customer."
342,Junior PHP Programmer,Multis UK,,Opportunity to participate in programmer summer camp in Crete.Multis UK Limited is looking for a right candidate to join the team on the position of “PHP…
343,HubSpot Web Developer,Bluleadz,"$65,000 - $85,000 a year","This position is located in Tampa, FL and offers the opportunity to work remotely.Our team is full of smart, passionate, and creative team members who live by…"
344,Desarrollador Backend Node.JS,Seeconds,,"En Seeconds, estamos en la búsqueda de un Desarrollador Backend Node.JS para sumarse a nuestro equipo.La posición será responsable de realizar tareas de…"
345,Software Engineer (SRE),Comcentric,"From $135,000 a year",Seeking Software Engineers/Site Reliability Engineers for Full-Time permanent position (FULLY REMOTE).$36K+ sign on bonus.Stock options and full benefits.
346,General Web Developer,LOCKHEED MARTIN CORPORATION,,"Responsible for developing, modifying, testing, deploying, and maintaining applications in support of the Rotary and Mission Systems business area as a member…"
347,Front-End Engineer,Density,,"At Density, the core of our product is the not only the data we provide, but also the experience our customers have interacting with it and the insights they…"
348,Software Engineer: Control Plane,Oxide Computer Company,"$180,250 a year","The control plane is the spinal column of Oxide's software: it is responsible for managing and provisioning virtual machines, storage and networking."
349,"Software Engineer, iOS | Ingénieur Logiciel – iOS",Facebook,,"Every month, billions of people access Facebook products using mobile devices from across the world.Our mobile teams constantly push the boundaries of the user…"
350,"Senior Software Engineer, Studio Production Engineering",Netflix,,You are an expert Java programmer who is up-to-date with the evolution of Java and its ecosystem of frameworks & build tools (or have experience building…
351,HubSpot Web Developer,Bluleadz,"$65,000 - $85,000 a year","As a developer at Bluleadz, you’re taking ownership of various website projects for our clients.You get to flex your badass coding and design skills while…"
352,WordPress Engineer (Remote/Worldwide),XWP,$30 - $45 an hour,You value autonomy and have the self-management skills to operate dependably in a fully-remote role.You’ve built complex custom WordPress plugins from scratch.
353,React / Node.JS Developer (Remote),TSP,"$115,000 - $130,000 a year","$115,000 – $130,000/yr – direct perm hire with our customer.Write code and assists in the architecting for large-scale web applications."
354,Software Engineer (SRE),Comcentric,"From $135,000 a year",Seeking Software Engineers/Site Reliability Engineers for Full-Time permanent position (FULLY REMOTE).$36K+ sign on bonus.Stock options and full benefits.
355,Web Developer,Scorpion Internet Marketing,,"Develop a wide variety of landing pages and microsites.Stay up-to-date with industry advancements, new email trends, and best practices."
356,PHP & MySQL & HTML/CSS & JS Developers,Retail Ecommerce Ventures,,Retail E Commerce Ventures LLC is seeking highly skilled and experienced.Fluent or near-fluent spoken and written English is a must have requirement so you can…
357,Junior PHP Programmer,Multis UK,,"Form of employment: part-time, full-time.Software code development on bigger projects in PHP programming language using SQL databases."
358,"Staff Software Engineer, Frontend - Frontend",Slack,"$169,000 - $200,000 a year","As a Staff Software Engineer, Frontend at Slack, you’ll use your deep understanding of JavaScript, HTML, and CSS to improve the Slack web client, a complex web…"
359,Desarrollador Backend Node.JS,Seeconds,,La posición será responsable de realizar tareas de Backend para nuestra aplicación mobile.Somos la comunidad que genera videos cortos de actualidad.
360,General Web Developer,LOCKHEED MARTIN CORPORATION,,"Responsible for developing, modifying, testing, deploying, and maintaining applications in support of the Rotary and Mission Systems business area as a member…"
361,"Software Engineer, iOS | Ingénieur Logiciel – iOS",Facebook,,Implement custom native user interfaces using the latest iOS programming techniques.Build reusable iOS software components for interfacing with our back-end…
362,Front-End Engineer,Density,,A customer's first and most formative impression of their data will be made through our web application.Deep understanding of modern JavaScript.
363,Software Engineer: Control Plane,Oxide Computer Company,"$180,250 a year","Collaborate with other engaged, friendly, systems-oriented engineers to understand customer use cases and implement the core of the Oxide platform."
364,Software Engineer in Test II,PEX,"$85,000 - $90,000 a year","We are the team behind the Attribution Engine, a licensing infrastructure for the Internet enabling fair compensation and increased access to content."
365,WordPress Engineer (Remote/Worldwide),XWP,$30 - $45 an hour,You value autonomy and have the self-management skills to operate dependably in a fully-remote role.You’ve built complex custom WordPress plugins from scratch.
366,React / Node.JS Developer (Remote),TSP,"$115,000 - $130,000 a year","$115,000 – $130,000/yr – direct perm hire with our customer.Write code and assists in the architecting for large-scale web applications."
367,Software Engineer (SRE),Comcentric,"From $135,000 a year",Seeking Software Engineers/Site Reliability Engineers for Full-Time permanent position (FULLY REMOTE).$36K+ sign on bonus.Stock options and full benefits.
368,Web Developer,Scorpion Internet Marketing,,"Develop a wide variety of landing pages and microsites.Stay up-to-date with industry advancements, new email trends, and best practices."
369,PHP & MySQL & HTML/CSS & JS Developers,Retail Ecommerce Ventures,,Retail E Commerce Ventures LLC is seeking highly skilled and experienced.Fluent or near-fluent spoken and written English is a must have requirement so you can…
370,Junior PHP Programmer,Multis UK,,"Form of employment: part-time, full-time.Software code development on bigger projects in PHP programming language using SQL databases."
371,"Staff Software Engineer, Frontend - Frontend",Slack,"$169,000 - $200,000 a year","As a Staff Software Engineer, Frontend at Slack, you’ll use your deep understanding of JavaScript, HTML, and CSS to improve the Slack web client, a complex web…"
372,Desarrollador Backend Node.JS,Seeconds,,La posición será responsable de realizar tareas de Backend para nuestra aplicación mobile.Somos la comunidad que genera videos cortos de actualidad.
373,General Web Developer,LOCKHEED MARTIN CORPORATION,,"Responsible for developing, modifying, testing, deploying, and maintaining applications in support of the Rotary and Mission Systems business area as a member…"
